[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[W       |B       |  WWW WB| BB B  B| WWB  WW|       W|B   BBB |   W  W ,(0,0)],0.9846101
[   BW   |WBWBBW B|  W WBB | WBB  WW|B  B B  |W  BBW  |B  W  WW|WB  WW B,(2,6)],-0.0068212496
[B    B  |B   BWW |WW   W W| BB W WW|    B  B|W WB BW |BW BWWB |   B    ,(3,7)],0.98423004
[BWBWWWBW|B BWBWWB|W W WBB | BW WB W|BWW  WWW| BBB B B|WBB BBBW|BBW  W W,(5,3)],0.99652994
[W    WWW| B  B BW|    W B |    B  B|B      W| W BW  B|        |     WB ,(5,7)],0.6737451
[B  WBBBW|WBWBWWWB|WBWBWBW |BBBWWBWW|B BBBWBB|WWBWWBBB|WWWBWBWW|BBWBWBWW,(3,0)],0.99709004
[      W |B       |    W   |    B   |  W    W|      BW|  B    W| BB     ,(7,1)],0.48913175
[W W W  B|WB    BB|WB  B   | W  BWB |W  BW   |BB B  B |  WW W  |WB BWW W,(4,0)],0.8859018
[W B  B  |    W   |WBWWWBB |B   W  B|     WB |W    B  |   B    |W WB W  ,(2,2)],0.6448713
[W WBW B |    B  B|WWBB BWB| W WWW  |BB W BW |WBW  BWW|BBW B BW| WBWB WB,(0,0)],0.996245
[        |        |        |        |        |        |        |    WB  ,(7,5)],0.11133001
[WBWWBWBB|WBBBWBWW|BBW WBWB|BWBBWWBW|WWWBB WB|BWBW BB | BBB W W|WWW  WBW,(7,7)],0.996785
[        |        |        |  W     |        |        |        |        ,(3,2)],-0.0019849997
[WBBWWBWB|BWB BWBW|WWBWWBBW|BBWBWBBW|BBWWWBW |WBBB WBW|BWWWBWBW|BWBBW WB,(1,4)],0.99726504
[      B |       B|        |        |W W     |W       |        |        ,(5,0)],-0.00705875
[ W  B WB| BW B B |WBW W  W|WW BB BB| BW W W |WBBB BWW|BW WW WB|BB BWWBW,(3,1)],0.99641496
[     BW |W B  WB |BWBBW WB|      B |BWWW   B|B W W  W|B B     | W    WB,(6,0)],0.948305
[    B W | B WBW W|   W WB |  B BB  |WWWB   W|   B BW |B BB W B|     W W,(0,4)],0.6381749
[W W  WWW| WBB BBB|     W  |  WW WB |W    W B|   BWBBB|WBB  BW |  B  BW ,(5,7)],0.9529651
[W W WWBB|  WBBWBW|BWBB WWW|BBBWB  B| WB  BWW| W WW  B|B WBW  B|BW  BB W,(2,2)],0.995965
[ BW B WB|    W   |B B    W|        |    WW  | BW   W |BB      |W   B   ,(6,0)],0.24571998
[BWWBWBBW|WBBBWWBB|BWWWBWWW|WBBWWBWB|BWWBWBWB|BWWBWBBW|BWWBBWWB|WB WBWBB,(4,6)],0.0
[BBWW WWB|WB BWWBW|B  BWWBB|BWWB B  |W BWBBWB|BW WBWB |WB W WWB|BBWB W W,(5,0)],0.9963299
[WW WWBWB|BBBWWBWB|BW  BBBW|BBBW WBW|WWWBBWB |BWBW WWW|BBW WBBW|WWWBWBBB,(4,5)],0.9968399
[       W|        | W      |W       |  B     |B       | WBB    |W       ,(0,7)],0.19601753
[W B B  W|WBBB WWB|B WB WW |   WB BB|  W     |  W  W B|B WW B  |     B W,(7,5)],0.995835
[BWBWBWWB|WBW  WBW|B WWB W |  W  BW |BW  BBBW|BWBWW BW|BWB BBWB| BWBWBWW,(5,3)],0.996575
[WBBWBWBB|WBWBBWWW|WWBBWBBW|BWW BWBB|BWWBBWWW|WB BWWBB|WWWBB WB|BBWWBWWB,(7,5)],0.99761
[WW  BWBW|BWBWWBB |WWBW BWB|WB BWBWB| WWWB  W|WWBW  BB|BWBBWBWW|WBWBBB B,(5,0)],0.99543
[  WWBB  |  BWB WW|B B WB W|  WB  WB| B   W W| BB  B B|  B WW W|BWW   WB,(5,5)],0.97936505
[ B   WWW|BW BB BB|WBW WWW | BW W WB|BWWBBW B|W  B BB | BWBBWWW|BB WWW B,(6,5)],0.99648505
[    W B |  W B   |    W   |B   BBW |W   W WW| B  B   |   WB W |  B  WB ,(4,7)],-0.012352499
[        |        |    W   |        |   W    |      B | W      |   B    ,(6,1)],-0.0049175
[WWBBB BB|B WWW WW| WBBWWB |BW WBB  |W BBWBWB|BWWWBWW | WBWW BB|BBWBBWBW,(0,6)],0.9960901
[BW BWBW |   BBBW |W W BWWB|  BWBB W|     W  |BBBWW WW|    W BB|  B WBWW,(7,6)],0.99473506
[W  B    |WWB  WW |        |  B  BB | WB  W W|  W WB  |WWB B BW|   BW BB,(7,4)],0.9315624
[   W    |        |        |        |        |      B |      W |        ,(0,3)],0.04169812
[        |    B W |  B WB  |   W B  |    WWW |    B   | B    WB|   WB WB,(2,2)],0.6902239
[ B W BW | W BWWBB|W BBWBW |W WBW WW|B W  BWW|BB BWWBW| BWB    | B BWWBB,(2,4)],0.9964298
[BWWBWWB | BBWW  W|B WB WBW|W W BWBW|WWBBB   |BBWBW BB| BW BWWW|BBWWB WB,(5,4)],0.996585
[WWBW BBW|  W BBBW|WWBBW WW|BWW  BBB|WBWBW BW|WBBBWBBW|WB  WBWB| WBB WW ,(6,0)],0.9966399
[BBBWWBWW| WBBWBWB|BWWWBWWB|BWB  WBB|BBWBWBBW|WB BWWWB|WBWWBBWB|BWWWBWWB,(3,0)],0.99736005
[        |        |     B  |B  W    |        |        |W       |        ,(3,0)],0.10701001
[  B  WWB|W W B   | BW BW W|  WWB BB| B    BW|B W   W |W B BW W|WB W BBB,(7,7)],0.9961301
[WWWBB  W| BWB WWW| BWWBBWW|WWBB W B|BBBWBBWW|WWBBWWWB|WBW B  B|BBWBB WB,(4,3)],0.9964
[     B  | B   WW | BWB    |  W     | B     W| W  B B |   W   W|W  B B  ,(1,1)],0.1312675
[B B  WBW| WBBBWB | W  WBWB| BW W BB|BW WWW  |W   B WB|W BWW   |WBW WBBB,(7,0)],0.99634504
[WBBWWBWB|WBWBBBWW|BWBWWBBB|BWWWBWBB|W WBBWBW|BBWBWBWW|BWBBWWWB|BWBWBWWW,(5,2)],0.0
[BB W    | BBB W  |   BBW  |W   W BW|BW WB  W|B  W    |  W BWBW|WB B WBW,(6,6)],0.96898
[WWB  B W| BWWW  W| W  BBBW|BBWWBWWB|WB    B |BWBB B B|WBW WWB |BBWB W W,(3,4)],0.99595004
[ B BW   | W    B |     WB | BBB W  | W BW   |BB B    |W WWB   |WWW W   ,(4,4)],0.986205
[BWBWB  W| W    W |     B B|BB W  BW|B   W BW|W   W   |B  W  WW|B BBWB  ,(2,7)],0.8793952
[B       |     W  | W    BW| B  BB  | B B    |   W  W | WW    B|   W    ,(3,4)],0.113930024
[W B W BW|  WW  BW|B B B  B|  WW W B|WWBW    |WBBB  BW|        |   W BWB,(3,3)],0.9744951
[ B  B   |BWB    W|W WB WB | BWB BW |W    BB |B WW B W|    W  W|W  W BWB,(1,1)],0.89533156
[ BBWBB  |WW  BW  |WBB WB B|BWWWBWWW| BBBW W |B WB BB |BWW B W |WWB  W W,(2,0)],0.99592507
[B  WWWBW|BW  BBBW|WB WWWBW|WB BWW  |B WWB WW| BB WBWB|WB  B WB|B BW  BB,(2,6)],0.99653006
[    WB  |     W  |BB      |     W  |W       |        |     B  |       W,(3,5)],0.026800927
[        |        |       B|  BW   W|  B     |W       |        |   W   B,(7,7)],0.03275124
[ W  B   |       W|   W    |WB   WW |        |     B  |B W   BB|    WB  ,(3,0)],0.17211749
[BW W  W |WBB WW W| B W B  |WB B   B|  WB  BW|  BBWB W|  W   B | W  BW  ,(1,0)],0.92480487
[     B  |        |    WW  |     W B|    W   |        |B     W |B       ,(4,4)],-0.015667502
[ W    WW|B B  WWB|BW  W WW|W  B   B|WBB W BB|B  BWB W|  BB   W|B   W BW,(6,2)],0.9946351
[WBBW WW |WBW  BBB|WWB W  B|  B B B | WWWBBWB|WW WW BB| W  B  W|BB   WBW,(0,0)],0.9962001
[BB BBWBB|BWWW W W|WWBWWBBB|WBWBWBWB|WWBB BBW|BB B W W|WW WWBWB|WBBWBWW ,(7,5)],0.996455
[W BB  BW|   BB WW|  W  BW | WWW W W|  B  BB |   B    |  WW B  |    BB W,(6,2)],0.9958749
[W B W  B|WWWBWW B|BBWWWBBW| B B B B|WWW   WW| WB BWW |  WBBWBB|BBWB BW ,(1,5)],0.85073125
[BWB B  W|  B WB  |        | BWB W B| W B    | W    B |W W  WBW|    WB  ,(0,0)],0.6840075
[   W WB | W   W W| BBB   B| WW  W  |   B  W | BW   BB|  W     |WBBWB WB,(0,3)],0.9685151
[ BBBW W | B W    | BBBWW W|B WWW WB|  BBB  B|WB W WWB|W WB W  |  B W BW,(6,2)],0.99575007
[WBB WW W| BWBWW W|BW   BBB|  BWBW W|WWBBB   |W  WWBBW|BBBW WBW|BBWBWB  ,(7,1)],0.996445
[BB WWW  |WW W  B |BBB  WWB|BB BWBWW| WBWWBBB|B BW B  | WWBBW W|W W WBBW,(6,5)],0.99637014
[BBB W  B|BWBWWBWB|BWBWBBBW|WBWWB W |BBW WWBW|W  WBBWW|  BWBB W|BWW WWBB,(2,2)],0.996675
[    B  W|B W W B |W WWBBW |W   BW W|WWB B BB|  BB WBW|  BB B W|W  BW   ,(4,4)],0.99613494
[ W  W   | W WB  W|    B   |   B BW |        |   B    |        |        ,(0,4)],0.33167744
[B WBBB  |  BW BWB|B  BW W |W BW    |  WBB W |    WB  |WBWW WB |WW  B   ,(0,4)],0.993415
[WWW WBBW|BWBBWWBW|BWBWBB  |BBWBWWBW|WBWBBBWB|BWW BWBW|BBBW WBW|BWWBWBW ,(7,0)],0.99698484
[ B      | B WB   |        |   W W  | B WBW  | BW     |WB B W  |    WB  ,(7,5)],0.7967774
[    B   |B  W    | W      |        |        |        |       B|     W  ,(1,0)],0.13991252
[WBWWB BB|WWBW W W| BB BB B|W  W W B|BWBWBWW |WWBWWB B|BBW W WB|WBBB WBW,(3,5)],0.99579513
[WW WW BB|WWBBWBBW|B       |  WB WW |WBBW WBB|BB     B|WB WB   |WWBB W W,(6,0)],0.9958401
[       B|        |        |    W   |     W  |        |        |        ,(3,4)],-0.01014
[BB BWW B|WW WW WB|BBWWW  W|B  W WB | BB B  W|WBWBWBBB|BBB BWWW|WW BW  B,(7,3)],0.99654996
[BW    B | W  WWW |  W    B|    B   |      BB|B       | W  WBWB| B  W   ,(4,7)],0.50539756
[BWBBWBWW| WWB BWB|WBWW WWW| WBBBWBB|WWWBW W | BWB BBB|    BBB |W WBBBWW,(0,3)],0.99647504
[WBBBWBWB|BBWBBBWW|WWBWWBBB|WWBBBWWB|BBWBWBWW|BWWBWBBB|WBWWBWW |WWBWWWBW,(6,3)],1.0
[W     W |        | WB WB B|  BB B  |W W   BB|      WB|   W W  |     B W,(3,5)],-0.015807504
[ W WW  W|W B B  B|BW B BBW| BBB BWB|W WWWBBW|BBBWBW W| BBWWW B| WW WBW ,(4,0)],0.99605495
[ BB  WB | WWWBWW | WWBW  B| BBBW BB|  BWBWWW|BW B BWW|   B W B| WW B BW,(7,7)],0.99492997
[ B   W W|  B WWB |    B  W| B WB  W|B  BWW  |W BWWBBW|W   WB B|BBB   W ,(7,1)],0.995595
[WB WBWB | BBBWBB | WWBWBWB|WW W WBW|BWWBB WB| BWWBWBB|WW  B WB|W WBWBBW,(6,0)],0.99623996
[BBWBWWBW|WBW BWW |BB BBWBB| WWWB WB|WWBWWW W|BB B W B|BWW  BB | WBBBWWW,(6,1)],0.99625504
[       B| BW B W |  WWB B |   W B  |    B  W|  W    B|W BBW W | BW  BW ,(0,7)],-0.019935
[        |     WW |      W |   BB B | W BW  B|   WB   |        |   BW   ,(3,6)],0.64045006
[    WBW |W   WW B| BWB   B|BB BWB  |B     B | WB WW B| B WWW  |BW    WW,(6,4)],0.97021997
[BB  W WB|B  BW W |  BBW   |  WW W W| B      |  WB  BW|  W  B  |BW      ,(1,4)],-0.02239
[    W   |W B     |        |  WB  B |  BW    |     W  |B     BB|   W W W,(7,7)],0.56487983
[   B  W |     W B|        |    W   |        |        |      B |BBW WW  ,(7,2)],-0.012624999
[W B BWWB|WBBBWBBW|BBWBWW W|WWWBWBBB|BBWWBBWW|WWB W BW|BBWBB WW|BWWB W B,(1,3)],0.9967502
[ WB WB  |W    WW | WW     |W BB B  | B    B | W  BW  |  BBW   |B     BW,(7,0)],0.18270405
[   BW  W|       W|        | W      |        |B      B|        |    B   ,(7,4)],0.15497002
[BBBWBWBW|WWWBBWWW|B BBWBWW|WWWBWBWB|BWBWWWBW|BWBBBWBB|BBBWBB B|WWWBWWWB,(6,5)],0.9981551
[ B  W W |    W  B|  W W   | B  B   |     B  |        |    W   |B  W    ,(6,4)],0.17010406
[BBWBB W |BBBWBBBW| WW B BW|WBBWWW W|B WWBWWB|WWBWBB W|BBWBW  B|BWBWWBWW,(5,2)],0.98833
[ BBB  WW|  W WWW |  B  BWB|WB WBWB |W  WB WW|B BB  BB| BBWBWWB|W WB WBW,(0,1)],0.9963349
[WW B  B |     W B| WWB  BB|W  BWWW |       B|B  WB   |       W|B     BW,(2,3)],0.6671909
[    W  W|  W     |        |        |   B W  |      B |       B|B      W,(7,7)],0.05352875
[        |  BW    | W      |      W |       B|   W    |B     B |        ,(6,6)],0.19680692
[        |   B    | WB WW  |       B|   B BBW|  B    W|B     WW|   BWWW ,(5,7)],0.5722205
[BW W BWB|   B BBW|WBWWWBWW| BBW W  |   B WWW|WWB WWB |B B WB B|B B WBBW,(5,0)],0.99637496
[WWBBBWBB|WBW BWBW|BBWB  BW|BWBWBBWW|WWBWWWB |WW WBBWB|BBWBWBW |WBBBWWBW,(2,1)],0.99698496
[    B   |W W     |        | W      |     B  |B   B   |       W|   B W W,(3,1)],0.14943783
[BWBWBWBW|WB WBBWW| WB W W |WBBWBBB |BBW BBWB|B BWWBWB|W   WWB |WWBBWBWW,(4,0)],0.99650496
[WWBWWBWB|WWBWBWBW|BB BWWBW|BBWBWBBB|WBBWBBWB|BWBWBWBW|B WWBBWB|WWWBWWWB,(4,7)],0.0
[    B  B|        |        |    BW  | B      |    W   | W      |  W  W  ,(5,4)],0.11311501
[WBBWBBB |  BWBB B|  BWWW W|WBWB  WW| BWWW BW|BWWW B B|BWB WBBW|BWWWBBBW,(0,4)],0.99657995
[BBWBW  W| WBWW WW|BWWW WWB|BBW  BW | B  BBB |WB BB WB|   W  WW| BBB W  ,(1,6)],0.9965199
[      W |       W|   B    |    B   |       B|        |        |     W  ,(2,3)],-0.0076075
[W W   B |WWB  WBB|B  WWBBB|W B     |WBWWBW  |B BBWB  |WB WWB W| B BBWWW,(7,4)],0.9963751
[   B WB |WWWBB BB| BWBWBBW|W   B   | W   BWB|BWW W W |WBWBBWB |   WW  B,(1,3)],0.99595994
[B    B W|B    W  |W  B W  | B  WB  | WW BB  |BW W   W|BWW  BW |BB W B W,(7,3)],0.93616503
[        |   B    | W      |        |        |        |        |        ,(1,3)],0.06306501
[  WBBB  | BW  B W|BWBWBWWB|B W BBWW|W BBBWBW|B WW    |    BB W| W WW W ,(2,1)],0.995535
[WBWWWBWW|BWWBWBBB| BWBBWBB| BBBWWBW|BWWWBBWW|WWBBWWBW|WWWBB  B|BB WB WB,(3,2)],0.996735
[W WB  BW|WW      | W B  W |  W B W |W B     |WBB     | B WB BB|   W B  ,(1,0)],0.8409551
[    WB W|W    WB |    WW W|B BW   B|     B B| B W   W|B   W   |BB  BW  ,(6,0)],0.6793
[        |  B     |        |    W   |WBW     |     B  | W      | B W    ,(7,3)],-0.0025962503
[BWWW WW |BWBBWWBW|WBWWWBB |WW BB WB|WBB  WBB|BWWWB BW|BBB BBWB|B W WWBW,(0,3)],0.99667007
[WBBWWWBB|BBWWWBWW|B   BBW |BBWWB  B|W W WWBB|BB W WWB| B WB  W| WW WBB ,(7,2)],0.99648494
[ B WWB  |W B  B B|  WW   W|W  W  W | BWB   B|  W B W |   W WWB| BB BB  ,(2,2)],0.7059868
[BB B  BB|WBB BB W|WW   BW | B BWBWB|BW W WBW|    WWW |WWB B WB|   BWW W,(1,1)],0.99649507
[WBBWWW W| WW WWBW|  BWWBBB|BB BBBWW|  BWWWBB| WW BWBW|  WWBBWW|BB B BBB,(3,4)],0.99640495
[WWBWBWB |BBW B BW|BWWBWWWB|BWWB BBB|WBBWWW W|BBWBBBWW|WWBBWBWB|BWBWBWWW,(2,2)],0.99685496
[B B    B|   W B W|     WW |W W B   |B B W  B|  W    W|     W  |  BW  B ,(2,5)],-0.012135
[ BW W  B|   B    |W  B BW | B B W W| W   W  |B   WW  | B    WB|  B     ,(6,7)],0.8624865
[WBWBBWB |WBBWB B |BW   BW | WWW    |WBW    W|  BB  B |B    WWW| B    WB,(7,7)],0.949975
[     WWW|BW B BBB| BWW BBB|BBW WW  |B   WBWW|BB  WB W|W  WBWWB|WWBW  BB,(2,5)],0.99559003
[BWWBWB W|BWBWW W |WWBBWW B|B BB B W|W W   BB|WBWBBWBB| WBWBWBW|W BBWW  ,(7,0)],0.9965501
[WW WWBW |   W B  |    W W | BBB B  |WB  WB  |B W WB  | BB    B|BWB  W W,(3,2)],0.899302
[        |        |        |   B  W |        |   B    |        |     W  ,(5,3)],-0.00215375
[ BWBBB  |WWBW    | BWWB WW|WWBBWWBB| BWWB B |WB BB WW|BW W   W|BWWB  BB,(5,4)],0.99586
[ WB    B| BW  W  |B W  B  | BB WB  |  W W  W|B W    B|WBW  BBW|WWB   BW,(6,6)],0.6731621
[WB WWBB |WBWBWWWB|BBWWBBWW|BWBBBWW |BBWWWB W|WWBBBW W| WBWBWBB|WB BBBWW,(2,2)],0.9967551
[WWW WBBB| W B BBW|BBW WBBW| WB WW  |B  WBBWB|BWB WW B|    W BW|WBW WWBB,(0,1)],0.9963301
[  BB W  |        |        |W BB   W|  B     |    BW B|W W    W|W      B,(5,4)],-0.006278752
[BWWWBWBW|WBBBWBBB|W WB  WW|BW BW WW|   WWBWB| B WWBBB|BBW BWB |W WW  BB,(0,7)],0.99643505
[WB BBB W|WBWBWWW |BBWBWB B|BWWW  WW| WB BB B|WBB BWWW| BWWWBBW|WBWBWWBB,(7,0)],0.9967001
[       W|W B  WWB|B   WB  | W  B  B|     B W|  W B  B| B   W  |  BW W W,(1,5)],0.566292
[BBB  BBW|WBB WWBW|W BWBWBB|BWW  WWB|W BWBBWB|WWBBBWBW|BWBB BWW| WWW W W,(4,3)],0.99666995
[WBWWBBBW|W BW BBW|BWWBB WB|WBBWWBBW|BWBBB WW|WBW WBWB|B WBWWBB|WBWBBWWW,(3,5)],0.99677
[  B     |BBB     |W   W   |       W|   B    | W B  W |   W W  |   W   B,(5,1)],0.5325906
[   W    |WW   B W|        |  WB    |BW   BWB| WBW    |W  BB   |     B B,(4,5)],0.21841061
[ WW   BB|WWB   WB| BB  BWW|BWWBWWBW|BBBW  WB|WWWB BWB| BBWWBBW|WBWBWW B,(2,6)],0.994805
[   W BW |BW B BWB|       W| W WWBB |WB WW  B|  WWWBWB|   B BBW|B BWB W ,(3,3)],0.996245
[ BBB WBW| WW BWWB| WWW B B|WWW BWW | BB  BW | BWBWBWB|B WBB  W|W  BBWB ,(1,4)],0.99620503
[WBWWBWBB|BBWWBBWB|BBWBBB W|WWBWWWBW|BWBWBWB |WB BWBWW|WBWBBWWB|WBWWBWBW,(0,3)],0.99759007
[W WBWBWB|WBBBWWBW|BWWB WBB|WBWWWBBW| WBBWWWB|WBBWBBBW|BBWB WWB|WBWBBWBW,(3,5)],0.92245686
[   W  W |  WWB   |   B  BW|  WB B  |W       |  B B   |W   W   |B    B  ,(5,4)],0.23265998
[WBBBWWBB|WBWWWBWW|BWBBBWWW|BB  WBWB|B WBBWBB|WBBWBWBW|WWBWBBWW|WBWWWB  ,(3,4)],0.9972601
[BW BB WB|B WBWWWB|WBBWWBBW|WW B BWB|  WBWBWB|B WBB WW|BBWWWBBB|WBBW WWW,(4,7)],0.996425
[WB W WBW|WWWBWBWW|W WWWBBB|BWBBBWWB|B BBBWWB|W W WB  |WB BBBWB|BWWBWBB ,(4,4)],0.99659
[   B W  | BW  W  | W   W W|    B   |        |       B|      W |     B B,(0,5)],0.014218445
[BWWB   B|W W B   |  B  W  |     W  | BW     |  B  WW |      B |      B ,(6,6)],0.39454067
[WWWBWWBW|B BBWW B|BBWB BWW| BWWWBB |B BBWWBW|WBBWWBBB|WWWBBBWW|WB WWBWB,(7,6)],0.9969699
[BBW B WW|    BW  |BBWBBB W|WWBWWWBB|  BB W W| WBW WWB| WWWB BB| BWBBWWB,(6,7)],0.99650496
[WBW BBWB|WWBWWBBW|WWBBBWBB|B BWWWBW|BW  BBW |BWWBWBWW|WBBBWWWB|BWBBWWBW,(1,3)],0.99701995
[W  W    |        |BB  W  B|  W     |        |W       |B    B W|B       ,(2,7)],0.18702689
[ BBW  BB|BB BWB W|BBWB WBW|WWB WW W| WB B B |W  WBBB |WWW   WW|BW B WBW,(4,2)],0.99639
[      W | W      |        |        | B B   W| W WB   |  B W   |B   B   ,(4,1)],0.13509937
[  BB  WW|  W     |W  W BBW|B BB  W | BWW BB | WWWBBBW|WBBW W W|  W  B B,(1,2)],0.9687249
[BW W WW |W BB    |  B     |    W   |B W     |  W B  B|     BW |  W B B ,(1,2)],0.934435
[BW   BBB|WB BW WW|BBW WB W| WWWBWBW|BBB BWWB|BBWWWBWB|WBW  WB |BWWBBBWW,(5,5)],0.99658
[B  WWB W|  B     |     B B|   W WBW|W   WBBW|BB W  BW|BW  W   |BB  WWB ,(6,0)],0.9941
[BWWWBWWW|WBW W BB|WBB WBBW|BWBWBWBW|WBBW WWW|B WBWWWB|WBWB BWB|BBBWB BB,(2,7)],0.9968401
[BWWW WB |BWW  BBW|BBWBBBWW|WWB  BBB|WW WW WW|WBW BWBW|BWBB BWW|BWBBWBBB,(3,5)],0.99675006
[ B W B  |        |WW     W|    W   |W      W|   BB W |B      B|   B  WB,(0,3)],0.09356626
[        |W       |        |  BW   W|B W    B| B   B  |    W   |       W,(7,7)],0.049703125
[WW  B  B|  WW  B | B  W B |B WBBWWB|B   BWBW| W    BW| WB  WB | W      ,(1,6)],0.9802786
[ BW   BB|W WWB WW|BW  B   | W  W   |     W W|B BWW B | B BB B |BWWB W  ,(2,1)],0.9830701
[ BBW WB |B BWB  W|BB WB  W|WWW  W W|WBBBWBWB|B WB BBW|W  BW  B| WWW WBB,(0,1)],0.9953799
[BWBW B B| W  WWWB|B BBB BW|WBW WWWB|WW  WB  |BW WBW W| BBW BBB| BWBWWWB,(3,5)],0.99637496
[  W     |WB B  W |WB    B |BBW  WBW|WW   B B|  WW W  |    BWBB| BB    W,(1,1)],0.7541849
[BBB  WBW| BWBBWWB|BWBB WWW|W WWBBWW|BWWBWW W|WBBWBWWB|BWBBBWBB|WBWWBBBW,(5,1)],0.99706995
[B  B BWB|BBWBBBWW|WWWBBWWB|WBWW W B|B BBBWBW|WWBBWBWB|BBWWWBWW|WWBWBWWB,(1,5)],0.99696
[WWW B   |BW WW  W| B   B B|WB   B  |       B|B  WW W |BB      |B BWWW  ,(7,4)],0.6378506
[   W   B|    B  W|        |        |        |B B    B|   W W  |   WWB  ,(0,7)],0.192285
[        |        |    W  B| B B    |     W  | BW   W |     W  |     B  ,(2,7)],0.18579192
[      BB|W  W    |  WB  W |BB B    |  B     |      W |  W     |  W  W  ,(1,3)],0.42825848
[ BBB B  | WBWBWBB| BW W BW|WBBBW B |WWWBB  W|WBBWWB  | W WBW W| WWB W  ,(4,2)],0.9948999
[B  W W B|  BW    |   B BB | B W    |  W BW  | W  W W |     B B|W  W  B ,(0,7)],0.7056495
[ BW W BW|B B   W |WW B  WW| WW  W B|W    BWB|BWBW WBB|WBBBW WW|B B B B ,(3,5)],0.99625003
[BWBWBBBW|  BWB  B|WWBWBW W| WWB BBB|BBWB WWW|WW BBW B|BWW  WBB|WWBWWBBW,(1,2)],0.99662507
[W W BWB |WBBWWWBW| B BBWWW|B WW  WB|  WWW  B|BBW  BBB|BBBWWB W| WBBWW B,(1,3)],0.99648505
[BBWBWBBB|WBBBWWBW|WBBBWBWW| WWW BWB|WWB BW W|WBWWBWBW| WWBWBBB|WWBWBBBW,(1,4)],0.99718
[W    BW |  BBWBWB|  WB  BB|  W B BW| B   W  |BWWW   W|WBBB WW | WBWB   ,(7,4)],0.9880451
[   WB   |      BW|B W     |  W  B W|  B  W  |  WBW   |    W   | B     B,(1,7)],0.6355683
[ W     B|  W     |B      B| WWWB   |BB  B WW| W    B |B WW W  | B     B,(0,7)],0.55153
[ B WBB  |BW  W  W|BW    BW|     B  |WW W B W|W BB W  |WB     B| WBW B  ,(5,5)],0.7907401
[  B W  B|WB  B   |W B B   |W BB    | W  WW W| WWWB  B|  W B   |   BWWBB,(1,4)],0.9794949
[        |B      W|    B   |      W |     W  |   B  W |  W    B|      B ,(2,4)],0.22711742
[    BBB |W W  W W|B B BW W| W BWW W| B WB WB|BW WB   |W WB  B |B    WB ,(5,1)],0.9961201
[ W   B  |  W   W |      BW|        |    W   |  W     | B B  B |     B  ,(6,3)],0.11827002
[BBWWWBBW|WWBBWBWB|WW WWWBB|WWWBBWB |  WBW BW|BB BWBWB|WBB BBWW|BWB BWBW,(5,1)],0.9968201
[  B    W|   WBW  |B    W W|BWB BB W|  BWW  B|B    BWB| WW   WB|WB W    ,(6,2)],0.99478006
[ BBBW   | WW   WW|B       |   W WWB| W W   W|  B B W |  B B B |BBBW W B,(5,2)],0.7669381
[WB W W W| BB WW W|B   B W |  W B BB|   B WB |B B B  B|   WB WW|W   W   ,(4,6)],0.8672798
[BW  W W |WB  BB  | BWWWB  | WBBWBW |  BWW BB|WB  BWB | WWB WB | W  BWWB,(3,6)],0.96990997
[ BBB   B|BBW W WW|WWBBWBBB|WB   BW | BWW WWW|WWB B  W|W BWWBB |BWBW WB ,(3,6)],0.9897415
[W BWW BW|BWWBWW B|WBB BB  |   W W W| BWBWW W|BB BB  B| W  WB W| B BWBW ,(0,7)],0.99018496
[BW   BBB| B W BW |BWWW  WW|  B B WB|W BB    | B WWWB |  WWB  W|BWBBBWWW,(2,7)],0.7879225
[WW B WBB|W BWBWWB|BW   B W|BWBBWW  |BBWWBWBB|WBW  W  |BBWWB WB|W BWWBBW,(3,1)],0.99648494
[BW BB BB|W B BBW |WBW   BB| BW   BW|WW WBWW |  W  B B|B  WWW W| W    B ,(1,4)],0.9951401
[  W  BW |BWBB  BB|BWWW WW | BW WB W| BB   WB|  WWWB W|BWBWBBWB|B B BWWW,(5,4)],0.99592865
[WWW BBW | WB W WB|BW BB WB|W BW  B |W WWBBBW| B B WWB|B   BBWB|   WW   ,(6,4)],0.9955951
[  BB WW | WW  WWW| WWWBBW |WB    BW|B   BWW |BB B BBW|WWBBWBBB|BW WB B ,(6,2)],0.996385
[BBWB WWB|WWBWW WB|W  WBBBW|BWB WWW |BW W BBW|WBBW W B|BBWB WBW|BWBBWBBW,(5,3)],0.99663496
[ B BB  B|       W|  WBB WW| B WB WB|WBBB   W|  W  WBW|WB B  WW|W WW B  ,(7,0)],0.99470013
[W  WW   |   BWB  |  WB W  | B BWBB |        |W B   BB|     WB |  WW   W,(7,2)],0.83983505
[WBBWWWBW|WW BWBBW|  BBB WB|BWWW  B |WBWWW BB|WWBB BB |BWBW BWW|BWBWWWBB,(7,4)],0.9966601
[WBBWBBBW|BWWBWBWW|WBWBWBBB|BWWBBWWW|WB WWBBB|WB BWBWW|BWBWWBBW|BWWBBWBW,(0,2)],0.9981701
[        |     B  |        |        |        |    W   |        |        ,(1,5)],0.110240005
[WWWBWB B|BWBWBBWB|WWBBBWWW|BB WWBBB|WWW WBWB| WWBBBWW|BBBWWWBW|WBB BWWB,(5,1)],0.9964498
[W  B    |B W W   |WB     W|W  W   W|       B|        |        |  B BB  ,(3,0)],0.57366747
